PLT_CN,prescription,template,entry_years,n_entries,cuts,regen_slot,stand_age,units,acres,owner_classes,counties,si_expanded_runs,keyfile_sha256_16
140566167010478,public_selection_light,selection_harvest,2032;2042;2052;2062,4,True,,84.0,7,56.0435005167531,federal;local;state,Baker;Columbia;Suwannee;Union,3,2b39eae40d5bc03e
140566167010478,public_thin_restore,thin_from_below_repeated,2027;2042;2057,3,True,,84.0,7,56.0435005167531,federal;local;state,Baker;Columbia;Suwannee;Union,3,f0937bcb0ed88912
140568302010478,family_light_thin,thin_from_below,2032,1,True,,28.0,5,1828.53040178073,private_family,Baker;Columbia;Hamilton;Suwannee;Union,3,5d26043d8ac1f982
140568302010478,family_uneven_aged_selection,selection_harvest,2037;2052;2067,3,True,,28.0,5,1828.53040178073,private_family,Baker;Columbia;Hamilton;Suwannee;Union,3,db7bbe8d11dca709
140568302010478,hardwood_clearcut_regen,clearcut,2047,1,True,hardwood_regen,28.0,5,588.0119657392665,private_industrial,Baker;Columbia;Hamilton;Suwannee;Union,3,86eb03e855333116
140568302010478,no_management,no_management,,0,False,,28.0,22,2550.201668355586,federal;local;private_family;private_industrial;state,Baker;Columbia;Hamilton;Suwannee;Union,3,980dbc41d5049f36
140568302010478,public_selection_light,selection_harvest,2032;2042;2052;2062,4,True,,28.0,12,133.65930083558973,federal;local;state,Baker;Columbia;Hamilton;Suwannee,3,37845c02d8d596f3
140568302010478,public_thin_restore,thin_from_below_repeated,2027;2042;2057,3,True,,28.0,12,133.65930083558973,federal;local;state,Baker;Columbia;Hamilton;Suwannee,3,b62c899f24289116
140582800010478,family_light_thin,thin_from_below,2032,1,True,,24.0,4,279.10552836716323,private_family,Baker;Columbia;Suwannee;Union,3,c9de3a5014c87c1c
140582800010478,family_uneven_aged_selection,selection_harvest,2037;2052;2067,3,True,,24.0,4,279.10552836716323,private_family,Baker;Columbia;Suwannee;Union,3,a412db970bcb6a70
140582800010478,no_management,no_management,,0,False,,24.0,10,335.3714237272368,local;private_family;private_industrial;state,Baker;Columbia;Suwannee;Union,3,ef7d21fa4b45b94d
140582800010478,pine_plantation_long_rotation,plantation_rotation,2027;2037,2,True,planted_pine_regen,24.0,9,327.5876042110211,private_family;private_industrial;state,Baker;Columbia;Suwannee;Union,3,30a992681da07d69
140582800010478,pine_plantation_short_rotation,clearcut,2027,1,True,planted_pine_regen,24.0,4,47.14770678393514,private_industrial,Baker;Columbia;Suwannee;Union,3,8267ec2438c3e374
140582800010478,public_selection_light,selection_harvest,2032;2042;2052;2062,4,True,,24.0,2,9.118188576138401,local;state,Columbia,3,97a1f54c46e53a08
140582800010478,public_thin_restore,thin_from_below_repeated,2027;2042;2057,3,True,,24.0,2,9.118188576138401,local;state,Columbia,3,1a37783dbeecd933
140593174010478,family_light_thin,thin_from_below,2032,1,True,,115.0,5,2.6687381198453854,private_family,Baker;Columbia;Hamilton;Suwannee;Union,3,832e3a65030d9f21
140593174010478,family_uneven_aged_selection,selection_harvest,2037;2052;2067,3,True,,115.0,5,2.6687381198453854,private_family,Baker;Columbia;Hamilton;Suwannee;Union,3,b3567777cac51909
140593174010478,hardwood_clearcut_regen,clearcut,2027,1,True,hardwood_regen,115.0,1,0.2223948433204488,private_industrial,Baker,3,5df77050fc50c731
140593174010478,no_management,no_management,,0,False,,115.0,7,3.113527806486283,local;private_family;private_industrial,Baker;Columbia;Hamilton;Suwannee;Union,3,d8bd59cf10d6ce28
140593174010478,public_selection_light,selection_harvest,2032;2042;2052;2062,4,True,,115.0,1,0.2223948433204488,local,Columbia,3,d5d5b88403377061
140593174010478,public_thin_restore,thin_from_below_repeated,2027;2042;2057,3,True,,115.0,1,0.2223948433204488,local,Columbia,3,797325a7b7970b2e
140599486010478,family_light_thin,thin_from_below,2032,1,True,,61.0,1,12.676506069265582,private_family,Baker,3,f113e61115f3d496
140599486010478,family_uneven_aged_selection,selection_harvest,2037;2052;2067,3,True,,61.0,1,12.676506069265582,private_family,Baker,3,79ae90ff58e0c567
140599486010478,hardwood_clearcut_regen,clearcut,2027,1,True,hardwood_regen,61.0,1,12.231716382624683,private_industrial,Baker,3,bf292b7515bccde3
140599486010478,no_management,no_management,,0,False,,61.0,2,24.908222451890264,private_family;private_industrial,Baker,3,53e92d75d8a98851
153666119010854,family_light_thin,thin_from_below,2032,1,True,,14.0,5,41.14304601428302,private_family,Baker;Columbia;Hamilton;Suwannee;Union,3,85c707bc4ebfcba0
153666119010854,family_uneven_aged_selection,selection_harvest,2037;2052;2067,3,True,,14.0,5,41.14304601428302,private_family,Baker;Columbia;Hamilton;Suwannee;Union,3,96efac9da9dd4a0a
153666119010854,hardwood_clearcut_regen,clearcut,2062,1,True,hardwood_regen,14.0,5,23.79624823528802,private_industrial,Baker;Columbia;Hamilton;Suwannee;Union,3,e4c22a50bcc3d1f4
153666119010854,no_management,no_management,,0,False,,14.0,14,71.83353439250496,federal;local;private_family;private_industrial;state,Baker;Columbia;Hamilton;Suwannee;Union,3,35741333e3f5d467
153666119010854,public_selection_light,selection_harvest,2032;2042;2052;2062,4,True,,14.0,4,6.894240142933913,federal;local;state,Columbia;Union,3,ac7898468d2102ed
153666119010854,public_thin_restore,thin_from_below_repeated,2027;2042;2057,3,True,,14.0,4,6.894240142933913,federal;local;state,Columbia;Union,3,98a67991f8a6f1d3
153846474010854,family_light_thin,thin_from_below,2032,1,True,,35.0,1,0.2223948433204488,private_family,Suwannee,3,4f846a7cd18cb9ae
153846474010854,family_uneven_aged_selection,selection_harvest,2037;2052;2067,3,True,,35.0,1,0.2223948433204488,private_family,Suwannee,3,552c41c4657df09a
153846474010854,no_management,no_management,,0,False,,35.0,1,0.2223948433204488,private_family,Suwannee,3,61f542c1a4470b04
173002836010854,family_light_thin,thin_from_below,2032,1,True,,41.0,4,17238.936279984588,private_family,Baker;Columbia;Hamilton;Union,3,c444a0ec56a8f770
173002836010854,family_uneven_aged_selection,selection_harvest,2037;2052;2067,3,True,,41.0,4,17238.936279984588,private_family,Baker;Columbia;Hamilton;Union,3,a2bcf61fa81ae44b
173002836010854,no_management,no_management,,0,False,,41.0,13,27487.55784472083,federal;local;private_family;private_industrial;state,Baker;Columbia;Hamilton;Union,3,62fab8339d3e9d7f
173002836010854,pine_plantation_long_rotation,clearcut,2027,1,True,planted_pine_regen,41.0,9,18185.89352284306,private_family;private_industrial;state,Baker;Columbia;Hamilton;Union,3,07746108488e1a25
173002836010854,pine_plantation_short_rotation,clearcut,2027,1,True,planted_pine_regen,41.0,3,918.2683080701331,private_industrial,Baker;Columbia;Hamilton,3,07746108488e1a25
173002836010854,public_selection_light,selection_harvest,2032;2042;2052;2062,4,True,,41.0,6,9330.353256666109,federal;local;state,Baker;Columbia,3,00305ee777195eef
173002836010854,public_thin_restore,thin_from_below_repeated,2027;2042;2057,3,True,,41.0,6,9330.353256666109,federal;local;state,Baker;Columbia,3,c528cc85dab2889c
173002842010854,family_light_thin,thin_from_below,2032,1,True,,45.0,4,13616.569071981117,private_family,Baker;Columbia;Suwannee;Union,3,2ea794034c9c627d
173002842010854,family_uneven_aged_selection,selection_harvest,2037;2052;2067,3,True,,45.0,4,13616.569071981117,private_family,Baker;Columbia;Suwannee;Union,3,c91748c7221bba11
173002842010854,no_management,no_management,,0,False,,45.0,18,18340.01314926413,federal;local;private_family;private_industrial;state,Baker;Columbia;Suwannee;Union,3,401244c5eb531034
173002842010854,pine_plantation_long_rotation,clearcut,2027,1,True,planted_pine_regen,45.0,12,17076.810439203982,private_family;private_industrial;state,Baker;Columbia;Suwannee;Union,3,f3f9fcf7957f37b2
173002842010854,pine_plantation_short_rotation,clearcut,2027,1,True,planted_pine_regen,45.0,4,3425.5477716648725,private_industrial,Baker;Columbia;Suwannee;Union,3,f3f9fcf7957f37b2
173002842010854,public_selection_light,selection_harvest,2032;2042;2052;2062,4,True,,45.0,10,1297.8963056181392,federal;local;state,Baker;Columbia;Suwannee;Union,3,42bfb2967d8eb32a
173002842010854,public_thin_restore,thin_from_below_repeated,2027;2042;2057,3,True,,45.0,10,1297.8963056181392,federal;local;state,Baker;Columbia;Suwannee;Union,3,9fdbfe6eb78a40f2
173002845010854,family_light_thin,thin_from_below,2032,1,True,,114.0,5,1748.2458633420479,private_family,Baker;Columbia;Hamilton;Suwannee;Union,3,b407fc009d17f655
173002845010854,family_uneven_aged_selection,selection_harvest,2037;2052;2067,3,True,,114.0,5,1748.2458633420479,private_family,Baker;Columbia;Hamilton;Suwannee;Union,3,19e8e7e27db67a8f
173002845010854,no_management,no_management,,0,False,,114.0,15,14196.352428517528,federal;local;private_family;private_industrial;state,Baker;Columbia;Hamilton;Suwannee;Union,3,3906952564647723
173002845010854,pine_plantation_long_rotation,clearcut,2027,1,True,planted_pine_regen,114.0,12,2165.903379097851,private_family;private_industrial;state,Baker;Columbia;Hamilton;Suwannee;Union,3,1848045bbeebf56f
173002845010854,pine_plantation_short_rotation,clearcut,2027,1,True,planted_pine_regen,114.0,4,399.421138603526,private_industrial,Baker;Columbia;Hamilton;Suwannee,3,1848045bbeebf56f
173002845010854,public_selection_light,selection_harvest,2032;2042;2052;2062,4,True,,114.0,6,12048.685426571954,federal;local;state,Baker;Columbia;Hamilton,3,cd3b780c80c7e6bf
173002845010854,public_thin_restore,thin_from_below_repeated,2027;2042;2057,3,True,,114.0,6,12048.685426571954,federal;local;state,Baker;Columbia;Hamilton,3,047bbcefb319b6c7
173002897010854,family_light_thin,thin_from_below,2032,1,True,,93.0,2,12.231716382624684,private_family,Baker;Union,3,898e8d3de317db32
173002897010854,family_uneven_aged_selection,selection_harvest,2037;2052;2067,3,True,,93.0,2,12.231716382624684,private_family,Baker;Union,3,3a4c0a581f5e9697
173002897010854,no_management,no_management,,0,False,,93.0,3,14.678059659149621,private_family;private_industrial,Baker;Union,3,be4945b2df0cbb83
173002897010854,pine_plantation_long_rotation,clearcut,2027,1,True,planted_pine_regen,93.0,3,14.678059659149621,private_family;private_industrial,Baker;Union,3,01812561d3334704
173002897010854,pine_plantation_short_rotation,clearcut,2027,1,True,planted_pine_regen,93.0,1,2.446343276524937,private_industrial,Baker,3,01812561d3334704
174758382020004,family_light_thin,thin_from_below,2032,1,True,,12.0,1,0.2223948433204488,private_family,Suwannee,3,57b5efbbd2c3dcec
174758382020004,family_uneven_aged_selection,selection_harvest,2037;2052;2067,3,True,,12.0,1,0.2223948433204488,private_family,Suwannee,3,1fcf7d0a87bce121
174758382020004,no_management,no_management,,0,False,,12.0,1,0.2223948433204488,private_family,Suwannee,3,7965585a944bcb91
17498047010478,family_light_thin,thin_from_below,2032,1,True,,47.0,4,179.69503340292263,private_family,Baker;Columbia;Suwannee;Union,3,541248aabe91a187
17498047010478,family_uneven_aged_selection,selection_harvest,2037;2052;2067,3,True,,47.0,4,179.69503340292263,private_family,Baker;Columbia;Suwannee;Union,3,70bb81920f421de1
17498047010478,no_management,no_management,,0,False,,47.0,13,250.6389884221458,local;private_family;private_industrial;state,Baker;Columbia;Suwannee;Union,3,6b5d143e753aca61
17498047010478,pine_plantation_long_rotation,clearcut,2027,1,True,planted_pine_regen,47.0,10,249.08222451890265,private_family;private_industrial;state,Baker;Columbia;Suwannee;Union,3,eaa77261f02a91b1
17498047010478,pine_plantation_short_rotation,clearcut,2027,1,True,planted_pine_regen,47.0,4,68.72000658601867,private_industrial,Baker;Columbia;Suwannee;Union,3,eaa77261f02a91b1
17498047010478,public_selection_light,selection_harvest,2032;2042;2052;2062,4,True,,47.0,5,2.223948433204488,local;state,Columbia;Suwannee;Union,3,99da7b7ed2f668ef
17498047010478,public_thin_restore,thin_from_below_repeated,2027;2042;2057,3,True,,47.0,5,2.223948433204488,local;state,Columbia;Suwannee;Union,3,800ece42ca42725e
176548620010854,family_light_thin,thin_from_below,2032,1,True,,41.0,1,293.7835880263128,private_family,Hamilton,3,f35fc8570c922be8
176548620010854,family_uneven_aged_selection,selection_harvest,2037;2052;2067,3,True,,41.0,1,293.7835880263128,private_family,Hamilton,3,67e3b8f272a5d71e
176548620010854,no_management,no_management,,0,False,,41.0,4,351.1614576029886,local;private_family;private_industrial;state,Hamilton,3,4754abac05c002c0
176548620010854,pine_plantation_long_rotation,clearcut,2027,1,True,planted_pine_regen,41.0,3,347.8255349531819,private_family;private_industrial;state,Hamilton,3,ed1c525b8fdf2acd
176548620010854,pine_plantation_short_rotation,clearcut,2027,1,True,planted_pine_regen,41.0,1,53.37476239690771,private_industrial,Hamilton,3,ed1c525b8fdf2acd
176548620010854,public_selection_light,selection_harvest,2032;2042;2052;2062,4,True,,41.0,2,4.003107179768079,local;state,Hamilton,3,c6ec00926eb2f197
176548620010854,public_thin_restore,thin_from_below_repeated,2027;2042;2057,3,True,,41.0,2,4.003107179768079,local;state,Hamilton,3,ae170e6c94df5d49
176548654010854,family_light_thin,thin_from_below,2032,1,True,,24.0,1,134.77127505219195,private_family,Hamilton,3,c9c18b262166a4dd
176548654010854,family_uneven_aged_selection,selection_harvest,2037;2052;2067,3,True,,24.0,1,134.77127505219195,private_family,Hamilton,3,f055be38a02521a8
176548654010854,no_management,no_management,,0,False,,24.0,3,194.81788274871312,local;private_family;private_industrial,Hamilton,3,01dc24657fe7f2cd
176548654010854,pine_plantation_long_rotation,plantation_rotation,2027;2037,2,True,planted_pine_regen,24.0,2,194.59548790539267,private_family;private_industrial,Hamilton,3,bed29e306119d066
