unit_id,tm_id,PLT_CN,county,owner_class,owner_name,OWN_CODE,forest_branch,FORTYPCD,ForTypName,acres,stand_age,prescription,template,entry_years,n_entries,first_entry_year,last_entry_year,cuts,regen_slot,collapsed_to_no_management,notes,params
TM43054_Suwannee_O7,43054,374860913489998,Suwannee,state,State,7,hardwood,602,Sweetgum / Nuttall oak / willow oak,0.2223948433204488,52.0,public_thin_restore,thin_from_below_repeated,2027;2042;2057,3,2027.0,2057.0,True,,False,,end_year=2067;interval=15;max_dbh=10.0;proportion=0.3;start_year=2027
TM43054_Suwannee_O7,43054,374860913489998,Suwannee,state,State,7,hardwood,602,Sweetgum / Nuttall oak / willow oak,0.2223948433204488,52.0,public_selection_light,selection_harvest,2032;2042;2052;2062,4,2032.0,2062.0,True,,False,,end_year=2062;interval=10;proportion=0.2;start_year=2032
TM43054_Suwannee_O7,43054,374860913489998,Suwannee,state,State,7,hardwood,602,Sweetgum / Nuttall oak / willow oak,0.2223948433204488,52.0,no_management,no_management,,0,,,False,,False,,
TM43046_Suwannee_O7,43046,374860898489998,Suwannee,state,State,7,other,406,Loblolly pine / hardwood,0.2223948433204488,12.0,public_thin_restore,thin_from_below_repeated,2027;2042;2057,3,2027.0,2057.0,True,,False,,end_year=2067;interval=15;max_dbh=10.0;proportion=0.3;start_year=2027
TM43046_Suwannee_O7,43046,374860898489998,Suwannee,state,State,7,other,406,Loblolly pine / hardwood,0.2223948433204488,12.0,public_selection_light,selection_harvest,2032;2042;2052;2062,4,2032.0,2062.0,True,,False,,end_year=2062;interval=10;proportion=0.2;start_year=2032
TM43046_Suwannee_O7,43046,374860898489998,Suwannee,state,State,7,other,406,Loblolly pine / hardwood,0.2223948433204488,12.0,no_management,no_management,,0,,,False,,False,,
TM64437_Columbia_O4,64437,638334670126144,Columbia,private_industrial,Corporate/Other Private,4,hardwood,514,Southern scrub oak,0.2223948433204488,18.0,hardwood_clearcut_regen,clearcut,2057,1,2057.0,2057.0,True,hardwood_regen,False,unrefined,year=2057
TM64437_Columbia_O4,64437,638334670126144,Columbia,private_industrial,Corporate/Other Private,4,hardwood,514,Southern scrub oak,0.2223948433204488,18.0,no_management,no_management,,0,,,False,,False,unrefined,
TM50925_Baker_O3,50925,451408064489998,Baker,private_family,Family Forest,3,hardwood,520,Mixed upland hardwoods,0.2223948433204488,22.0,family_light_thin,thin_from_below,2032,1,2032.0,2032.0,True,,False,,max_dbh=8.0;proportion=0.35;year=2032
TM50925_Baker_O3,50925,451408064489998,Baker,private_family,Family Forest,3,hardwood,520,Mixed upland hardwoods,0.2223948433204488,22.0,family_uneven_aged_selection,selection_harvest,2037;2052;2067,3,2037.0,2067.0,True,,False,,end_year=2067;interval=15;proportion=0.15;start_year=2037
TM50925_Baker_O3,50925,451408064489998,Baker,private_family,Family Forest,3,hardwood,520,Mixed upland hardwoods,0.2223948433204488,22.0,no_management,no_management,,0,,,False,,False,,
TM67315_Suwannee_O4,67315,718603558290487,Suwannee,private_industrial,Corporate/Other Private,4,hardwood,608,Sweetbay / swamp tupelo / red maple,0.2223948433204488,16.0,hardwood_clearcut_regen,clearcut,2057,1,2057.0,2057.0,True,hardwood_regen,False,unrefined,year=2057
TM67315_Suwannee_O4,67315,718603558290487,Suwannee,private_industrial,Corporate/Other Private,4,hardwood,608,Sweetbay / swamp tupelo / red maple,0.2223948433204488,16.0,no_management,no_management,,0,,,False,,False,unrefined,
TM13255_Suwannee_O4,13255,43393151010478,Suwannee,private_industrial,Corporate/Other Private,4,hardwood,520,Mixed upland hardwoods,0.2223948433204488,74.0,hardwood_clearcut_regen,clearcut,2027,1,2027.0,2027.0,True,hardwood_regen,False,unrefined,year=2027
TM13255_Suwannee_O4,13255,43393151010478,Suwannee,private_industrial,Corporate/Other Private,4,hardwood,520,Mixed upland hardwoods,0.2223948433204488,74.0,no_management,no_management,,0,,,False,,False,unrefined,
TM48480_Baker_O4,48480,448939748489998,Baker,private_industrial,Corporate/Other Private,4,hardwood,514,Southern scrub oak,0.2223948433204488,32.0,hardwood_clearcut_regen,clearcut,2042,1,2042.0,2042.0,True,hardwood_regen,False,unrefined,year=2042
TM48480_Baker_O4,48480,448939748489998,Baker,private_industrial,Corporate/Other Private,4,hardwood,514,Southern scrub oak,0.2223948433204488,32.0,no_management,no_management,,0,,,False,,False,unrefined,
TM53774_Suwannee_O8,53774,484311003489998,Suwannee,local,Local,8,hardwood,995,Other exotic hardwoods,0.2223948433204488,30.0,public_selection_light,selection_harvest,2032;2042;2052;2062,4,2032.0,2062.0,True,,False,,end_year=2062;interval=10;proportion=0.2;start_year=2032
TM53774_Suwannee_O8,53774,484311003489998,Suwannee,local,Local,8,hardwood,995,Other exotic hardwoods,0.2223948433204488,30.0,public_thin_restore,thin_from_below_repeated,2027;2042;2057,3,2027.0,2057.0,True,,False,,end_year=2067;interval=15;max_dbh=10.0;proportion=0.3;start_year=2027
TM53774_Suwannee_O8,53774,484311003489998,Suwannee,local,Local,8,hardwood,995,Other exotic hardwoods,0.2223948433204488,30.0,no_management,no_management,,0,,,False,,False,,
TM24498_Columbia_O3,24498,176860080010854,Columbia,private_family,Family Forest,3,other,406,Loblolly pine / hardwood,0.2223948433204488,41.0,family_light_thin,thin_from_below,2032,1,2032.0,2032.0,True,,False,,max_dbh=8.0;proportion=0.35;year=2032
TM24498_Columbia_O3,24498,176860080010854,Columbia,private_family,Family Forest,3,other,406,Loblolly pine / hardwood,0.2223948433204488,41.0,family_uneven_aged_selection,selection_harvest,2037;2052;2067,3,2037.0,2067.0,True,,False,,end_year=2067;interval=15;proportion=0.15;start_year=2037
TM24498_Columbia_O3,24498,176860080010854,Columbia,private_family,Family Forest,3,other,406,Loblolly pine / hardwood,0.2223948433204488,41.0,no_management,no_management,,0,,,False,,False,,
TM64483_Baker_O6,64483,638335132126144,Baker,federal,Federal,6,pine,142,Slash pine,0.2223948433204488,36.0,public_selection_light,selection_harvest,2032;2042;2052;2062,4,2032.0,2062.0,True,,False,,end_year=2062;interval=10;proportion=0.2;start_year=2032
TM64483_Baker_O6,64483,638335132126144,Baker,federal,Federal,6,pine,142,Slash pine,0.2223948433204488,36.0,public_thin_restore,thin_from_below_repeated,2027;2042;2057,3,2027.0,2057.0,True,,False,,end_year=2067;interval=15;max_dbh=10.0;proportion=0.3;start_year=2027
TM64483_Baker_O6,64483,638335132126144,Baker,federal,Federal,6,pine,142,Slash pine,0.2223948433204488,36.0,no_management,no_management,,0,,,False,,False,,
TM45047_Baker_O6,45047,385730105489998,Baker,federal,Federal,6,hardwood,520,Mixed upland hardwoods,0.2223948433204488,75.0,public_selection_light,selection_harvest,2032;2042;2052;2062,4,2032.0,2062.0,True,,False,,end_year=2062;interval=10;proportion=0.2;start_year=2032
TM45047_Baker_O6,45047,385730105489998,Baker,federal,Federal,6,hardwood,520,Mixed upland hardwoods,0.2223948433204488,75.0,public_thin_restore,thin_from_below_repeated,2027;2042;2057,3,2027.0,2057.0,True,,False,,end_year=2067;interval=15;max_dbh=10.0;proportion=0.3;start_year=2027
TM45047_Baker_O6,45047,385730105489998,Baker,federal,Federal,6,hardwood,520,Mixed upland hardwoods,0.2223948433204488,75.0,no_management,no_management,,0,,,False,,False,,
TM24508_Columbia_O6,24508,176860474010854,Columbia,federal,Federal,6,hardwood,608,Sweetbay / swamp tupelo / red maple,0.2223948433204488,25.0,public_selection_light,selection_harvest,2032;2042;2052;2062,4,2032.0,2062.0,True,,False,,end_year=2062;interval=10;proportion=0.2;start_year=2032
TM24508_Columbia_O6,24508,176860474010854,Columbia,federal,Federal,6,hardwood,608,Sweetbay / swamp tupelo / red maple,0.2223948433204488,25.0,public_thin_restore,thin_from_below_repeated,2027;2042;2057,3,2027.0,2057.0,True,,False,,end_year=2067;interval=15;max_dbh=10.0;proportion=0.3;start_year=2027
