smz_pct_band,units,acres
0 (no SMZ pixel),3405,62898.82156210593
0-5,1404,821714.6972631869
5-10,222,31859.17327987089
10-25,140,8493.48146125126
25-50,39,112.75418556346753
>=50 (riparian),30,18.90356168223815
