size_band,corridors,acres,share_of_riparian_acres
< 0.5 ac,2505,783.2746381746206,7.021951073628806
0.5–2 ac,2288,2401.1971233308855,21.526407081763264
2–10 ac,1109,4465.910848717932,40.03628606176605
10–50 ac,186,3266.535458690752,29.28404808900054
≥ 50 ac,4,237.74008750955977,2.1313076938413387
