owner_name,acres,smz_acres,smz_pct
Family Forest,566516.6145529719,7503.602013631942,1.324515790159641
Corporate/Other Private,183254.24047542308,2191.256391236382,1.1957466225892108
Federal,140417.88012409816,891.3585320283587,0.6347899079808043
Local,26353.78893347318,388.74618612414446,1.4751054852320673
State,8555.307227694344,179.69503340292263,2.100392523850373
