forest_branch,acres,smz_acres,smz_pct
pine,546659.2013877324,3729.7839173272464,0.6822868631606183
hardwood,300607.10660907085,5636.152514270134,1.874923243780712
other,77831.52331685746,1788.7217248263696,2.298196988313284
