"FORTYPCD","ForTypName","N_PLOTS","N_PIXELS","TM_BAA_mean","TM_TPA_mean","TM_CARB_mean","TM_BAA_sd","TM_TPA_sd","TM_CARB_sd","TM_BAA_CV","TM_TPA_CV","TM_CARB_CV","ESS","FIA_BAA","FIA_BAA_SE","FIA_TPA","FIA_TPA_SE","FIA_CARB","FIA_CARB_SE","BAA_bias_abs","TPA_bias_abs","CARB_bias_abs","BAA_bias_pct","TPA_bias_pct","CARB_bias_pct","BAA_z","TPA_z","CARB_z"
516,"Cherry / white ash / yellow-poplar",3,12694,49.0991348038443,539.072345202458,9.49162123838034,7.56215147544827,146.694569213225,2.65729657461614,0.154018018966317,0.272124085976126,0.27996234867349,1.87898006150654,5.67057801378262,71.3654001894499,5.87240858620446,71.3654001894499,3.22006679420543,37.6092661497133,43.4285567900617,533.199936616253,6.27155444417491,765.857672436681,9079.74860381572,194.764731447828,5.7428837455927,3.63476261920255,2.36012589038198
999,"Nonstocked",1,2386,11.3447,12.03,3.08,0,0,0,0,0,0,1,3.96290492228171,12.2958833644612,18.4603378092326,23.8180477086547,2.26210479455713,5.01760850802276,7.38179507771829,-6.43033780923265,0.817895205442874,186.272323522415,-34.8332618594694,36.156379996666,Inf,-Inf,Inf
709,"Cottonwood / willow",1,34,140.9985,675.2,42.37,0,0,0,0,0,0,1,63.5035108990478,0.00000212465374760224,192.577472,0,9.34924071268464,0,77.4949891009522,482.622528,33.0207592873154,122.032605762769,250.612142213602,353.191882657532,Inf,Inf,Inf
402,"Eastern redcedar / hardwood",4,14398,167.051746464787,230.002479511043,28.8188102514238,51.7496105818754,21.0527871933773,9.75534452810545,0.309781918938416,0.0915328705939732,0.338506150774336,1.29263859896312,86.4916376054326,48.7681768568112,262.264087256601,8.32658653948894,18.4752823061148,49.8549117579958,80.5601088593542,-32.2616077455579,10.343527945309,93.142078343877,-12.3011915520072,55.9857639733364,1.55672879377317,-1.53241504078408,1.06029345406602
702,"River birch / sycamore",6,205808,16.68969290358,120.576898079764,1.12207460351395,7.55876119501946,56.9272842165534,1.86142936727919,0.452899956798969,0.472124305096114,1.65891765257838,1.008912219458,74.3163135820412,52.7446628884746,876.353111840909,64.0725477233765,14.1777852549475,58.3392989835402,-57.6266206784612,-755.776213761146,-13.0557106514336,-77.5423563156755,-86.2410600874716,-92.0856848701218,-7.62381813522987,-13.2761684342107,-7.01380932359353
606,"Atlantic white-cedar",2,15555,48.2035685567342,1811.10311218258,4.00719575699132,4.13677463354499,147.157337960403,0.266017243481761,0.0858188461436446,0.0812528767525901,0.0663848884890743,1.03040675255297,173.79747679154,15.8270596427223,712.60625487888,64.0585318807731,29.1543832798888,18.8896285256779,-125.593908234806,1098.4968573037,-25.1471875228975,-72.2645176175074,154.152008880473,-86.2552545923496,-30.3603457670544,7.46477798884401,-94.5321708989955
511,"Yellow-poplar",3,57995,61.9251072161393,329.812904043452,12.2510414690922,21.7972432294938,82.4594676685568,5.87672104849628,0.351993629230453,0.250018924843805,0.479691548128583,1.47333766219737,153.21078130335,8.16793770458694,144.796853328247,11.8676546496566,47.186623703393,15.0702760442869,-91.2856740872104,185.016050715205,-34.9355822343008,-59.5817561340343,127.776292414162,-74.0370458668539,-4.18794583911841,2.24372113895849,-5.94474060381682
517,"Elm / ash / black locust",6,190663,55.8783870467789,480.829625097685,11.056615127214,3.39855514603096,170.933425768673,0.999808034538893,0.060820566334276,0.355496868010049,0.0904262310874903,1.42060897669674,35.2489427977595,79.3360046121751,118.685212954342,28.6440292622338,10.7793309533447,72.1532866736367,20.6294442490194,362.144412143343,0.27728417386926,58.5250013521843,305.130186927885,2.57236905582922,6.07006311876731,2.11862841053358,0.277337413073643
704,"Willow",9,173329,16.5643961449036,699.507381915317,1.89886793323679,5.09093674824362,108.525718202257,0.729195063367168,0.307342127277604,0.155145922699348,0.384015681450889,1.27443233656921,32.4503219274116,20.5570137370565,360.160512606574,20.0381948770399,4.77658535333118,18.285204726505,-15.8859257825079,339.346869308743,-2.87771742009439,-48.9546014922235,94.2210090864215,-60.2463309503613,-3.1204327549323,3.12687973809405,-3.94643020045431
706,"Sugarberry / hackberry / elm / green ash",29,36978,44.9483841608524,461.273236789442,8.57648331440316,11.1960391188458,284.338731866382,3.29882259159809,0.249086576255547,0.61642148121456,0.384635808252331,4.24027146668688,86.4143717698401,27.6516000589014,708.922323362033,4.3501216206164,17.5003291001463,17.0025846653214,-41.4659876089877,-247.64908657259,-8.92384578574315,-47.9850593827495,-34.9331765147591,-50.992445540173,-3.70363011140162,-0.870965010454384,-2.7051608681448
708,"Red maple / lowland",7,90299,34.0797746896422,539.644697947929,5.50376083899046,19.3289399899975,263.320735242052,5.17834442010405,0.567167481769534,0.48795204741817,0.940873808218362,2.75931989677044,61.9778675118218,17.9996086408149,449.482897791994,21.2798819612205,11.9155491326435,19.3327505923915,-27.8980928221796,90.1618001559343,-6.41178829365308,-45.0129924474382,20.0590057149757,-53.8102627271076,-1.44333278682724,0.34240296372048,-1.23819270668061
166,"Pond pine",17,1413569,89.4774623421991,682.278273830284,16.5945294640729,35.1247978832064,456.584824360914,4.92548141405332,0.392554694375156,0.66920616099596,0.296813562850154,4.45563228122625,64.1457266750072,10.1912379189945,277.875932988715,17.1348981391064,15.2154057076507,9.91880107145372,25.3317356671919,404.402340841569,1.3791237564222,39.4909169796057,145.533417195217,9.06399594543015,0.721192353943857,0.885711305467969,0.279997758693659
983,"Palms",35,1136740,84.3925393449689,236.698080528529,10.261484825026,37.2539439335393,138.297185799616,6.51141891033701,0.441436461358953,0.58427675243842,0.634549387478195,9.41372255972214,130.554021689938,6.00216446836183,271.175697170747,9.05408891470926,20.7620117007636,6.86812788906128,-46.1614823449694,-34.477616642218,-10.5005268757376,-35.3581465721534,-12.7141248282692,-50.5756716982846,-1.23910323232679,-0.249300927150997,-1.61263267197689
501,"Post oak / blackjack oak",6,68553,26.0274396379444,899.856576225694,3.81652035651248,15.4790273576804,112.771270683514,4.10863267123169,0.594719556475858,0.125321383054748,1.07653891173953,1.15985191737383,40.0564366376214,15.3023513386134,371.099903022674,42.7937450091971,10.0026081852059,16.8270168970758,-14.0289969996771,528.75667320302,-6.1860878286934,-35.0230778803247,142.483646289369,-61.8447480312464,-0.906322902305364,4.68875335001715,-1.50563175725294
995,"Other exotic hardwoods",53,118061,62.0365687170192,881.677831036498,10.4741723346406,28.8504468986092,482.293990588872,6.44005804166871,0.465055490580257,0.547018393353374,0.614851258497047,10.8340862645419,46.1858155040899,10.3552992053972,952.868931503458,18.9880571131749,7.02735425306083,13.9633544957612,15.8507532129293,-71.1911004669604,3.44681808157973,34.3195265471185,-7.47123745074083,49.0485886644812,0.549411011504763,-0.147609345868144,0.535215375277365
992,"Melaleuca",5,338040,41.0090115421252,1115.58438397823,4.86180685717667,9.3465126024354,416.576904741697,1.61410290540507,0.227913628028671,0.37341586232694,0.331996509285934,2.86688044685808,61.633373078816,38.4928069734268,641.387602502403,27.1730144534678,10.3192675373421,40.7614533158508,-20.6243615366908,474.196781475824,-5.45746068016541,-33.4629771281812,73.9329509372685,-52.8861245278954,-2.20663710776111,1.13831750171041,-3.3811107469606
962,"Other hardwoods",8,1029493,42.2635580170045,688.258479494275,5.46357346771663,12.7564246539477,347.164057685922,3.25207287659955,0.301830353441024,0.504409415981353,0.595228177275462,2.83187040797364,61.9689229978794,14.5401611883423,632.976423444035,15.9238639234261,15.4507483681285,14.8757823831775,-19.7053649808749,55.2820560502402,-9.98717490041189,-31.7987856292891,8.73366747997494,-64.6387777631097,-1.54474043593216,0.159238996164326,-3.07101817190971
407,"Slash pine / hardwood",89,4105014,65.627644611882,503.631133489435,12.1909278116956,30.9677544140741,440.439786703105,8.11929845101189,0.471870575231149,0.874528513857938,0.666011527295113,15.8153081221618,90.6476595266326,5.29581039967961,540.398986886825,6.89933970070997,21.8754728367008,5.59846698817956,-25.0200149147507,-36.76785339739,-9.68454502500518,-27.601390974027,-6.80383462767116,-44.2712488881944,-0.807937656060061,-0.0834798637802782,-1.1927810122312
507,"Sassafras / persimmon",10,9169,8.56146545970117,156.174786781547,1.84759188570182,2.01910446838694,40.3891932396461,0.427453128669987,0.235836315393769,0.258615324995715,0.231356898662507,1.23852803567833,11.3136437859121,35.8629457185332,53.4279018771182,34.3536089641615,3.93503167237851,20.9193516177924,-2.75217832621089,102.746884904428,-2.08743978667669,-24.3261886116474,192.309413797947,-53.047598100143,-1.36306881060473,2.54392020892291,-4.88343550829004
