"SOURCE","FOREST_ACRES","BAA_sqft_ac","TPA_live_ac","Carbon_tons_ac","BA_Total_sqft","TPA_Total_trees","Carbon_Total_tons"
"FIA",16758135.91,83.56,481.31,19.98,1400256688.93,8065932402.89,334788010.12
"TreeMap2022",15966013.45,77.8,519.48,17.22,1242154415.44,8294007439.24,274863690.86
