fvs_run_id,PLT_CN,prescription,cycles,first_year,last_year,total_removed_merch_cuft_per_ac,harvest_cycles,ending_ba,ending_merch_cuft_per_ac
140582800010478::family_uneven_aged_selection,140582800010478,family_uneven_aged_selection,10,2027,2072,1328.0405578613281,3,163.7256317138672,3581.423095703125
140582800010478::no_management,140582800010478,no_management,10,2027,2072,0.0,0,179.61810302734375,4193.38427734375
140582800010478::pine_plantation_long_rotation,140582800010478,pine_plantation_long_rotation,10,2027,2072,1843.6748962402344,2,195.12530517578125,3844.8828125
140582800010478::pine_plantation_short_rotation,140582800010478,pine_plantation_short_rotation,10,2027,2072,987.2550659179688,1,166.55963134765625,3338.2685546875
140582800010478::public_selection_light,140582800010478,public_selection_light,10,2027,2072,1811.5311279296875,4,141.1573028564453,2994.3251953125
140582800010478::public_thin_restore,140582800010478,public_thin_restore,10,2027,2072,972.2091369628906,3,164.99749755859375,3581.52587890625
140593174010478::family_light_thin,140593174010478,family_light_thin,10,2027,2072,12.35423755645752,1,192.24203491210938,2858.273193359375
140593174010478::family_uneven_aged_selection,140593174010478,family_uneven_aged_selection,10,2027,2072,1070.0496826171875,3,175.26547241210938,2405.20263671875
140593174010478::hardwood_clearcut_regen,140593174010478,hardwood_clearcut_regen,10,2027,2072,1591.49951171875,1,59.741539001464844,834.9031982421875
140593174010478::no_management,140593174010478,no_management,10,2027,2072,0.0,0,192.87216186523438,2800.890380859375
140593174010478::public_selection_light,140593174010478,public_selection_light,10,2027,2072,1571.2779541015625,4,148.15957641601562,1988.938232421875
140593174010478::public_thin_restore,140593174010478,public_thin_restore,10,2027,2072,77.14064693450928,3,191.84461975097656,2839.710205078125
140599486010478::family_light_thin,140599486010478,family_light_thin,10,2027,2072,162.63662719726562,1,141.60841369628906,2019.7867431640625
140599486010478::family_uneven_aged_selection,140599486010478,family_uneven_aged_selection,10,2027,2072,640.5982208251953,3,127.8627700805664,1849.45556640625
140599486010478::hardwood_clearcut_regen,140599486010478,hardwood_clearcut_regen,10,2027,2072,655.597412109375,1,110.32142639160156,745.05859375
140599486010478::no_management,140599486010478,no_management,10,2027,2072,0.0,0,143.4446258544922,2146.060546875
153666119010854::family_light_thin,153666119010854,family_light_thin,10,2027,2072,22.26297950744629,1,195.73049926757812,4090.680908203125
153666119010854::family_uneven_aged_selection,153666119010854,family_uneven_aged_selection,10,2027,2072,1133.933822631836,3,190.0410614013672,3981.68798828125
153666119010854::hardwood_clearcut_regen,153666119010854,hardwood_clearcut_regen,10,2027,2072,3856.7294921875,1,9.576334953308105,0.0
153666119010854::no_management,153666119010854,no_management,10,2027,2072,0.0,0,199.15341186523438,4305.076171875
153666119010854::public_selection_light,153666119010854,public_selection_light,10,2027,2072,1412.6577367782593,4,193.00999450683594,3837.767822265625
153666119010854::public_thin_restore,153666119010854,public_thin_restore,10,2027,2072,880.7919616699219,2,193.54983520507812,3756.5087890625
153846474010854::family_light_thin,153846474010854,family_light_thin,10,2027,2072,0.0,0,187.28163146972656,2829.4365234375
153846474010854::family_uneven_aged_selection,153846474010854,family_uneven_aged_selection,10,2027,2072,641.0939025878906,3,148.78564453125,2207.78857421875
153846474010854::no_management,153846474010854,no_management,10,2027,2072,0.0,0,197.19847106933594,3003.386962890625
173002836010854::family_light_thin,173002836010854,family_light_thin,10,2027,2072,207.74594116210938,1,179.35931396484375,7044.515625
173002836010854::family_uneven_aged_selection,173002836010854,family_uneven_aged_selection,10,2027,2072,2247.7340087890625,3,146.2406768798828,5724.21826171875
173002836010854::no_management,173002836010854,no_management,10,2027,2072,0.0,0,179.3367919921875,7039.8955078125
173002836010854::pine_plantation_long_rotation,173002836010854,pine_plantation_long_rotation,10,2027,2072,2058.532470703125,1,180.13934326171875,5933.66650390625
173002836010854::pine_plantation_short_rotation,173002836010854,pine_plantation_short_rotation,10,2027,2072,2058.532470703125,1,180.13934326171875,5933.66650390625
173002836010854::public_selection_light,173002836010854,public_selection_light,10,2027,2072,3227.546630859375,4,121.17755889892578,4722.484375
173002836010854::public_thin_restore,173002836010854,public_thin_restore,10,2027,2072,890.9542846679688,3,166.44793701171875,6546.169921875
173002842010854::family_light_thin,173002842010854,family_light_thin,10,2027,2072,249.29598999023438,1,180.51693725585938,4829.41845703125
173002842010854::family_uneven_aged_selection,173002842010854,family_uneven_aged_selection,10,2027,2072,1607.2390747070312,3,149.9766082763672,3947.888671875
173002842010854::no_management,173002842010854,no_management,10,2027,2072,0.0,0,181.03952026367188,4794.08642578125
173002842010854::pine_plantation_long_rotation,173002842010854,pine_plantation_long_rotation,10,2027,2072,1707.509033203125,1,145.44947814941406,3284.533447265625
173002842010854::pine_plantation_short_rotation,173002842010854,pine_plantation_short_rotation,10,2027,2072,1707.509033203125,1,145.44947814941406,3284.533447265625
