dimension,key,cycle,calendar_year,min_attainable_cuft,max_attainable_cuft,target_cuft,target_reachable,max_as_pct_of_target
owner_group,Other public,9,2067,0.0,0.0,22434500.0,False,0.0
owner_group,Other public,10,2072,0.0,0.0,22434500.0,False,0.0
owner_group,Private,1,2027,0.0,637236032.8574972,354974000.0,True,179.51625551660044
owner_group,Private,2,2032,0.0,328578191.17271405,354974000.0,False,92.56401628646438
owner_group,Private,3,2037,0.0,514113854.509783,354974000.0,True,144.83141145824285
owner_group,Private,4,2042,0.0,393141988.9864712,354974000.0,True,110.75233368823383
owner_group,Private,5,2047,0.0,85606357.1032811,354974000.0,False,24.116233048978543
owner_group,Private,6,2052,0.0,526018225.72926813,354974000.0,True,148.18500107874607
owner_group,Private,7,2057,0.0,139406049.67512524,354974000.0,False,39.27218604042134
owner_group,Private,8,2062,0.0,3189653.896847482,354974000.0,False,0.8985598654683108
owner_group,Private,9,2067,0.0,399525890.6240328,354974000.0,True,112.55074755447802
owner_group,Private,10,2072,0.0,0.0,354974000.0,False,0.0
