seed,objective,initial_temperature,temperature_levels,moves_proposed,moves_accepted,accept_rate
42,190.42733045834603,0.0734888715798817,129,15261990,6188530,0.405486440496947
43,190.34514742063777,0.06251241465714082,126,14907060,6013009,0.40336652565965386
44,190.49517337133094,0.07684551889493955,130,15380300,6259969,0.40701215190861034
45,190.55859256178212,0.05399793819210671,123,14552130,5814926,0.39959277439110286
46,190.48981445514394,0.08101765361723871,131,15498610,6308008,0.40700475720080703
