strategy,n_units,total_forest_ha,sliver_count,sliver_fraction,candidate_count,large_count,median_area_ha,mean_area_ha,median_compactness,mean_compactness
Naive,2442,27614.561226920407,0,0.0,2340,102,6.759676473587902,11.308174130598037,0.2012534141747826,0.24789623037334685
Felzenszwalb,2137,27802.651625093094,0,0.0,2028,109,7.418087384998369,13.010131785256478,0.1563998560517294,0.18928325718613223
SLIC,1554,27806.343999532364,0,0.0,1379,175,8.70335634427176,17.893400257099334,0.1349659564170947,0.1715998031797669
