base_prescription,template,offset_years,resolved_params,entries_kept,entries_dropped,collapsed_to_no_management,entry_years
pine_plantation_long_rotation,plantation_rotation,15,clearcut_year=2057;thin_max_dbh=9.0;thin_proportion=0.35;thin_year=2037,2,0,False,2052;2072
pine_plantation_short_rotation,plantation_rotation,0,clearcut_year=2042;thin_max_dbh=8.0;thin_proportion=0.4;thin_year=2032,2,0,False,2032;2042
pine_plantation_short_rotation,plantation_rotation,5,clearcut_year=2042;thin_max_dbh=8.0;thin_proportion=0.4;thin_year=2032,2,0,False,2037;2047
pine_plantation_short_rotation,plantation_rotation,10,clearcut_year=2042;thin_max_dbh=8.0;thin_proportion=0.4;thin_year=2032,2,0,False,2042;2052
pine_plantation_short_rotation,plantation_rotation,15,clearcut_year=2042;thin_max_dbh=8.0;thin_proportion=0.4;thin_year=2032,2,0,False,2047;2057
pine_plantation_short_rotation,plantation_rotation,0,clearcut_year=2032;thin_max_dbh=8.0;thin_proportion=0.4;thin_year=2027,2,0,False,2027;2032
pine_plantation_short_rotation,plantation_rotation,5,clearcut_year=2032;thin_max_dbh=8.0;thin_proportion=0.4;thin_year=2027,2,0,False,2032;2037
pine_plantation_short_rotation,plantation_rotation,10,clearcut_year=2032;thin_max_dbh=8.0;thin_proportion=0.4;thin_year=2027,2,0,False,2037;2042
pine_plantation_short_rotation,plantation_rotation,15,clearcut_year=2032;thin_max_dbh=8.0;thin_proportion=0.4;thin_year=2027,2,0,False,2042;2047
pine_plantation_short_rotation,plantation_rotation,0,clearcut_year=2047;thin_max_dbh=8.0;thin_proportion=0.4;thin_year=2037,2,0,False,2037;2047
pine_plantation_short_rotation,plantation_rotation,5,clearcut_year=2047;thin_max_dbh=8.0;thin_proportion=0.4;thin_year=2037,2,0,False,2042;2052
pine_plantation_short_rotation,plantation_rotation,10,clearcut_year=2047;thin_max_dbh=8.0;thin_proportion=0.4;thin_year=2037,2,0,False,2047;2057
pine_plantation_short_rotation,plantation_rotation,15,clearcut_year=2047;thin_max_dbh=8.0;thin_proportion=0.4;thin_year=2037,2,0,False,2052;2062
hardwood_clearcut_regen,clearcut,0,year=2042,1,0,False,2042
hardwood_clearcut_regen,clearcut,5,year=2042,1,0,False,2047
hardwood_clearcut_regen,clearcut,10,year=2042,1,0,False,2052
hardwood_clearcut_regen,clearcut,15,year=2042,1,0,False,2057
hardwood_clearcut_regen,clearcut,0,year=2037,1,0,False,2037
hardwood_clearcut_regen,clearcut,5,year=2037,1,0,False,2042
hardwood_clearcut_regen,clearcut,10,year=2037,1,0,False,2047
hardwood_clearcut_regen,clearcut,15,year=2037,1,0,False,2052
hardwood_clearcut_regen,clearcut,0,year=2027,1,0,False,2027
hardwood_clearcut_regen,clearcut,5,year=2027,1,0,False,2032
hardwood_clearcut_regen,clearcut,10,year=2027,1,0,False,2037
hardwood_clearcut_regen,clearcut,15,year=2027,1,0,False,2042
pine_plantation_short_rotation,plantation_rotation,0,clearcut_year=2037;thin_max_dbh=8.0;thin_proportion=0.4;thin_year=2027,2,0,False,2027;2037
pine_plantation_short_rotation,plantation_rotation,5,clearcut_year=2037;thin_max_dbh=8.0;thin_proportion=0.4;thin_year=2027,2,0,False,2032;2042
pine_plantation_short_rotation,plantation_rotation,10,clearcut_year=2037;thin_max_dbh=8.0;thin_proportion=0.4;thin_year=2027,2,0,False,2037;2047
pine_plantation_short_rotation,plantation_rotation,15,clearcut_year=2037;thin_max_dbh=8.0;thin_proportion=0.4;thin_year=2027,2,0,False,2042;2052
pine_plantation_long_rotation,plantation_rotation,0,clearcut_year=2047;thin_max_dbh=9.0;thin_proportion=0.35;thin_year=2027,2,0,False,2027;2047
pine_plantation_long_rotation,plantation_rotation,5,clearcut_year=2047;thin_max_dbh=9.0;thin_proportion=0.35;thin_year=2027,2,0,False,2032;2052
pine_plantation_long_rotation,plantation_rotation,10,clearcut_year=2047;thin_max_dbh=9.0;thin_proportion=0.35;thin_year=2027,2,0,False,2037;2057
pine_plantation_long_rotation,plantation_rotation,15,clearcut_year=2047;thin_max_dbh=9.0;thin_proportion=0.35;thin_year=2027,2,0,False,2042;2062
hardwood_clearcut_regen,clearcut,0,year=2067,1,0,False,2067
hardwood_clearcut_regen,clearcut,5,year=2067,1,0,False,2072
hardwood_clearcut_regen,clearcut,10,year=2067,0,0,True,
hardwood_clearcut_regen,clearcut,15,year=2067,0,0,True,
pine_plantation_long_rotation,plantation_rotation,0,clearcut_year=2052;thin_max_dbh=9.0;thin_proportion=0.35;thin_year=2032,2,0,False,2032;2052
pine_plantation_long_rotation,plantation_rotation,5,clearcut_year=2052;thin_max_dbh=9.0;thin_proportion=0.35;thin_year=2032,2,0,False,2037;2057
pine_plantation_long_rotation,plantation_rotation,10,clearcut_year=2052;thin_max_dbh=9.0;thin_proportion=0.35;thin_year=2032,2,0,False,2042;2062
pine_plantation_long_rotation,plantation_rotation,15,clearcut_year=2052;thin_max_dbh=9.0;thin_proportion=0.35;thin_year=2032,2,0,False,2047;2067
hardwood_clearcut_regen,clearcut,0,year=2052,1,0,False,2052
hardwood_clearcut_regen,clearcut,5,year=2052,1,0,False,2057
hardwood_clearcut_regen,clearcut,10,year=2052,1,0,False,2062
hardwood_clearcut_regen,clearcut,15,year=2052,1,0,False,2067
hardwood_clearcut_regen,clearcut,0,year=2047,1,0,False,2047
hardwood_clearcut_regen,clearcut,5,year=2047,1,0,False,2052
hardwood_clearcut_regen,clearcut,10,year=2047,1,0,False,2057
hardwood_clearcut_regen,clearcut,15,year=2047,1,0,False,2062
hardwood_clearcut_regen,clearcut,0,year=2057,1,0,False,2057
hardwood_clearcut_regen,clearcut,5,year=2057,1,0,False,2062
hardwood_clearcut_regen,clearcut,10,year=2057,1,0,False,2067
hardwood_clearcut_regen,clearcut,15,year=2057,1,0,False,2072
hardwood_clearcut_regen,clearcut,0,year=2032,1,0,False,2032
hardwood_clearcut_regen,clearcut,5,year=2032,1,0,False,2037
hardwood_clearcut_regen,clearcut,10,year=2032,1,0,False,2042
hardwood_clearcut_regen,clearcut,15,year=2032,1,0,False,2047
pine_plantation_long_rotation,plantation_rotation,0,clearcut_year=2047;thin_max_dbh=9.0;thin_proportion=0.35;thin_year=2032,2,0,False,2032;2047
pine_plantation_long_rotation,plantation_rotation,5,clearcut_year=2047;thin_max_dbh=9.0;thin_proportion=0.35;thin_year=2032,2,0,False,2037;2052
pine_plantation_long_rotation,plantation_rotation,10,clearcut_year=2047;thin_max_dbh=9.0;thin_proportion=0.35;thin_year=2032,2,0,False,2042;2057
pine_plantation_long_rotation,plantation_rotation,15,clearcut_year=2047;thin_max_dbh=9.0;thin_proportion=0.35;thin_year=2032,2,0,False,2047;2062
hardwood_clearcut_regen,clearcut,0,year=2062,1,0,False,2062
hardwood_clearcut_regen,clearcut,5,year=2062,1,0,False,2067
hardwood_clearcut_regen,clearcut,10,year=2062,1,0,False,2072
hardwood_clearcut_regen,clearcut,15,year=2062,0,0,True,
hardwood_clearcut_regen,clearcut,0,year=2072,1,0,False,2072
hardwood_clearcut_regen,clearcut,5,year=2072,0,0,True,
hardwood_clearcut_regen,clearcut,10,year=2072,0,0,True,
hardwood_clearcut_regen,clearcut,15,year=2072,0,0,True,
