cycle,cuft,calendar_year,target_cuft,deviation_pct
1,214525982.94661036,2027,387529000.0,-44.64259889024812
2,230549853.0130013,2032,387529000.0,-40.50771606434582
3,250015215.53770214,2037,387529000.0,-35.484772613739324
4,267654180.51121566,2042,387529000.0,-30.93312229246956
5,272506023.72908854,2047,387529000.0,-29.6811274177962
6,276713348.6197367,2052,387529000.0,-28.595447406584626
7,270947828.13481253,2057,387529000.0,-30.0832123183523
8,245779537.91224274,2062,387529000.0,-36.57776891219941
9,283002873.2607458,2067,387529000.0,-26.97246573527508
10,266036055.0774232,2072,387529000.0,-31.350671800710867
