cycle,runs_cutting,removed_cuft_per_ac,calendar_year
1,1113,1184982.939201355,2027
2,2312,1857356.469028294,2032
3,3054,2567890.5661640093,2037
4,4070,3429150.696726814,2042
5,2989,2087107.77009207,2047
6,2952,2247228.1192058697,2052
7,2704,1868651.669366181,2057
8,2189,1575026.6997460127,2062
9,2787,1900862.5553299487,2067
10,1637,1037818.1201012433,2072
