county,owner_group,stands,acres,removed_cuft
Baker,Federal (NF),211,37530.46417938566,2482452.671979196
Baker,Other public,288,2720.7785131823707,8301922.140665292
Baker,Private,1851,216974.19140935616,591935546.7573307
Columbia,Federal (NF),779,102135.27658460275,98512626.48517306
Columbia,Other public,678,22822.381216387774,66053865.39534533
Columbia,Private,2028,156353.58262222493,524619720.6487745
Hamilton,Federal (NF),83,463.91564316645616,1204374.04306892
Hamilton,Other public,261,2628.9294428910252,8821463.81981119
Hamilton,Private,1757,151132.41888559074,526318597.77561104
Suwannee,Federal (NF),48,288.2237169433016,834508.6634887324
Suwannee,Other public,265,1629.0422273222873,5398315.191623178
Suwannee,Private,1328,140878.90463430146,477324452.4431374
Union,Other public,293,5107.964761384068,18945310.25242484
Union,Private,1961,84431.75747692175,246977742.4541457
