dimension,key,cycle,calendar_year,volume_cuft,target_cuft,deviation_cuft,deviation_pct
county,Baker,1,2027,61130375.05641643,57256000.0,3874375.0564164296,6.766758167556988
county,Baker,2,2032,61221035.504952736,57256000.0,3965035.504952736,6.925100434806371
county,Baker,3,2037,60386515.858149745,57256000.0,3130515.8581497446,5.467576949402236
county,Baker,4,2042,59815861.14730445,57256000.0,2559861.147304453,4.470904616641842
county,Baker,5,2047,59988928.814853616,57256000.0,2732928.814853616,4.773174540403828
county,Baker,6,2052,59908893.29702609,57256000.0,2652893.2970260903,4.6333891592603225
county,Baker,7,2057,59878066.29934304,57256000.0,2622066.299343042,4.579548517785109
county,Baker,8,2062,60509734.291771606,57256000.0,3253734.2917716056,5.682783100062187
county,Baker,9,2067,59797057.03848027,57256000.0,2541057.038480267,4.438062453682177
county,Baker,10,2072,60083454.2616772,57256000.0,2827454.261677198,4.938267188901073
county,Columbia,1,2027,54914311.469955,98627500.0,-43713188.530045,-44.32150113309676
county,Columbia,2,2032,60442421.004943505,98627500.0,-38185078.995056495,-38.71646244207396
county,Columbia,3,2037,65370581.15101698,98627500.0,-33256918.84898302,-33.71972203389827
county,Columbia,4,2042,69871044.86129268,98627500.0,-28756455.138707325,-29.156629883863346
county,Columbia,5,2047,72197141.30066352,98627500.0,-26430358.699336484,-26.798163493281777
county,Columbia,6,2052,75173325.93025178,98627500.0,-23454174.069748223,-23.780562287139205
county,Columbia,7,2057,71166590.84681195,98627500.0,-27460909.15318805,-27.843055084218953
county,Columbia,8,2062,70382995.25281207,98627500.0,-28244504.747187927,-28.637555192200885
county,Columbia,9,2067,70625206.32376568,98627500.0,-28002293.67623432,-28.391973512696076
county,Columbia,10,2072,79042594.38777992,98627500.0,-19584905.61222008,-19.85744910113313
county,Hamilton,1,2027,48344492.36315745,81057500.0,-32713007.63684255,-40.357780139829806
county,Hamilton,2,2032,50867108.13547145,81057500.0,-30190391.86452855,-37.24564890914296
county,Hamilton,3,2037,53878241.72247278,81057500.0,-27179258.27752722,-33.530837094071764
county,Hamilton,4,2042,56815837.14085027,81057500.0,-24241662.85914973,-29.906748739042943
county,Hamilton,5,2047,57966765.43551795,81057500.0,-23090734.56448205,-28.486857557267435
county,Hamilton,6,2052,59455667.76389419,81057500.0,-21601832.236105807,-26.65001046924197
county,Hamilton,7,2057,60212604.82565918,81057500.0,-20844895.17434082,-25.716183171626096
county,Hamilton,8,2062,40583322.89306001,81057500.0,-40474177.10693999,-49.93267385120438
county,Hamilton,9,2067,51765704.81279776,81057500.0,-29291795.187202238,-36.137057258368735
county,Hamilton,10,2072,56454690.54561012,81057500.0,-24602809.454389878,-30.35229245213568
county,Suwanee,1,2027,25661070.22283959,112373500.0,-86712429.7771604,-77.16448253116653
county,Suwanee,2,2032,32213316.329222497,112373500.0,-80160183.6707775,-71.33370738721986
