timing_offset_years,stands,acres,removed_cuft
0,1158,211805.06806605897,531012685.7600178
5,1464,329325.17512188375,624850973.7777154
10,1266,153995.7524933415,534864733.02583396
15,1110,183011.16291167383,887002506.1790118
