"YEAR","FORTYPCD","TPA","BAA","TPA_SE","BAA_SE","nPlots_TREE","nPlots_AREA"
2023,141,304.904401537477,54.3086469113164,6.5695084634222,3.90838870398599,244,257
2023,142,377.22229812682,68.0724485832704,3.05369587597803,2.2865087009082,902,951
2023,161,462.031819142575,73.7285001988854,5.76297118817614,4.4387746509357,232,261
2023,162,444.50751420133,93.8596553043045,45.9529691524356,23.3502866926134,5,5
2023,164,610.362289269352,68.0530745603419,6.27887009635045,5.87219145706824,112,118
2023,166,277.875932988715,64.1457266750072,17.1348981391064,10.1912379189945,32,32
2023,168,528.199818666666,123.245213167756,17.2671530135263,17.6421893752903,3,3
2023,171,212.4181647947,67.4551281847626,49.8426642139147,22.5439425706674,6,6
2023,402,262.264087256601,86.4916376054326,8.32658653948894,48.7681768568112,5,5
2023,403,399.716903387634,52.3424020929061,10.5196319621558,8.43095931988806,63,68
2023,404,582.02693194548,185.132897517895,0,0,1,1
2023,406,467.377063803844,97.0188841379115,10.5481013368769,6.65526699801389,79,82
2023,407,540.398986886825,90.6476595266326,6.89933970070997,5.29581039967961,189,194
2023,409,480.534803172964,57.0530496777485,11.7725866794423,13.7070087588352,43,45
2023,501,371.099903022674,40.0564366376214,42.7937450091971,15.3023513386134,2,2
2023,503,368.565035817619,117.669261649833,18.119047826125,7.79560103136402,12,12
2023,506,1140.305224,102.474802968598,0,0,1,1
2023,507,53.4279018771182,11.3136437859121,34.3536089641615,35.8629457185332,8,12
2023,508,446.333133628686,78.2476080604528,19.8544028276623,15.2541521646349,34,36
2023,511,144.796853328247,153.21078130335,11.8676546496566,8.16793770458694,2,2
2023,513,305.846823648992,173.506233251529,1.65707454035076e-06,1.46049791761999e-06,1,1
2023,514,340.536394178642,44.7696191740091,10.2192210154993,8.27566128911579,137,161
2023,516,5.87240858620446,5.67057801378262,71.3654001894499,71.3654001894499,1,2
2023,517,118.685212954342,35.2489427977595,28.6440292622338,79.3360046121751,3,3
2023,519,306.168779267259,35.8051190772999,51.072525837688,36.9338882540171,12,14
2023,520,479.631793567282,91.1716626638885,5.36222065417508,4.16978579718531,345,367
2023,602,490.496863094963,123.792217480548,5.9999084406521,3.6259699067005,151,155
2023,605,533.747250133333,120.07284672277,24.2051478437355,26.2787882747566,5,5
2023,606,712.60625487888,173.79747679154,64.0585318807731,15.8270596427223,4,4
2023,607,494.929616008225,188.837847746164,6.71265297142322,4.30571218325542,96,97
2023,608,708.874634152208,114.172961000358,4.99348685182421,4.12291836961372,340,358
2023,609,832.97413186178,125.664008679652,4.78156138706522,4.39519918059762,214,218
2023,702,876.353111840909,74.3163135820412,64.0725477233765,52.7446628884746,4,4
2023,704,360.160512606574,32.4503219274116,20.0381948770399,20.5570137370565,14,18
2023,705,288.345622,124.16673250774,50.1065868415087,28.7771245913137,3,3
2023,706,708.922323362033,86.4143717698401,4.3501216206164,27.6516000589014,2,2
2023,708,449.482897791994,61.9778675118218,21.2798819612205,17.9996086408149,14,14
2023,709,192.577472,63.5035108990478,0,2.12465374760224e-06,1,1
2023,962,632.976423444035,61.9689229978794,15.9238639234261,14.5401611883423,42,46
2023,982,1418.82155093702,47.217745882937,13.4886010990313,11.9989842174093,46,53
2023,983,271.175697170747,130.554021689938,9.05408891470926,6.00216446836183,118,120
2023,989,621.401180654313,76.8658546533012,26.0334656119348,26.8059366046381,9,9
2023,992,641.387602502403,61.633373078816,27.1730144534678,38.4928069734268,4,6
2023,993,504.814048498835,43.6189668551082,27.5680629921738,18.5944410096409,3,4
2023,995,952.868931503458,46.1858155040899,18.9880571131749,10.3552992053972,7,8
2023,999,18.4603378092326,3.96290492228171,23.8180477086547,12.2958833644612,57,133
