"FORTYPCD","ForTypName","N_PIXELS","FOREST_ACRES","BAA_sqft_ac","TPA_live_ac","Carbon_tons_ac","PCT_ACRES"
142,"Slash pine",19061638,4239210.01990582,76.9620089623935,412.205377117119,18.839139570272,26.55
520,"Mixed upland hardwoods",8929861,1985955.04896097,70.4558168469252,343.603725884423,19.0757207609391,12.44
608,"Sweetbay / swamp tupelo / red maple",5813510,1292894.65274824,88.5380352119804,714.283258688813,18.1323118683893,8.1
161,"Loblolly pine",5619710,1249794.53187417,81.9272610844332,649.211607312477,15.1704644688071,7.83
141,"Longleaf pine",5315607,1182163.59246155,63.5582150795572,298.295483511102,16.7275936332389,7.4
609,"Baldcypress / pondcypress",4130083,918509.166769545,114.75959475289,890.483813078333,20.5365980441555,5.75
407,"Slash pine / hardwood",4105011,912933.283226951,65.6275965313369,503.630158462426,12.190911732027,5.72
514,"Southern scrub oak",2683122,596712.500102549,49.1835546325512,428.64241943527,10.3073315041209,3.74
602,"Sweetgum / Nuttall oak / willow oak",2354390,523604.198063465,104.811935601196,553.884966742978,25.1206194937967,3.28
982,"Mangrove",1738300,386588.958283768,40.7434763951562,1459.76494598171,5.32560029914284,2.42
607,"Baldcypress / water tupelo",1666775,370682.167027226,176.844691448636,428.597875940064,39.1817282656627,2.32
403,"Longleaf pine / oak",1446341,321658.781863374,50.7545635189765,448.800914825757,10.9338926712304,2.01
166,"Pond pine",1413569,314370.458017734,89.4774623421991,682.278273830284,16.5945294640729,1.97
164,"Sand pine",1396692,310617.10022624,61.5972099606069,497.223684140813,13.1063598918015,1.95
406,"Loblolly pine / hardwood",1312126,291810.057801903,86.8870367110323,590.819080720906,18.6859920693592,1.83
983,"Palms",1136739,252804.893200559,84.3925087837225,236.698161697628,10.261484254521,1.58
962,"Other hardwoods",1029493,228953.935701796,42.2635580170045,688.258479494275,5.46357346771663,1.43
992,"Melaleuca",338040,75178.3532521688,41.0090115421252,1115.58438397823,4.86180685717667,0.47
171,"Eastern redcedar",258361,57458.1544331546,63.5651,114.34,11.8,0.36
503,"White oak / red oak / hickory",250600,55732.1480445909,89.724934113328,178.409054189944,22.720526217079,0.35
605,"Overcup oak / water hickory",250190,55640.9661583248,99.0624172724729,491.643092569647,29.3754299532355,0.35
508,"Sweetgum / yellow-poplar",245572,54613.9467661862,63.2786935790725,529.742160384734,14.6101252178587,0.34
702,"River birch / sycamore",205808,45770.6381674428,16.68969290358,120.576898079764,1.12207460351395,0.29
517,"Elm / ash / black locust",190663,42402.4682467112,55.8783870467789,480.829625097685,11.056615127214,0.27
704,"Willow",173329,38547.4760112565,16.5643961449036,699.507381915317,1.89886793323679,0.24
409,"Other pine / hardwood",136582,30375.1326585248,48.140206875723,512.682523465757,9.0879951970245,0.19
995,"Other exotic hardwoods",118059,26255.7129528985,62.0365426083568,881.685977604418,10.4741484342574,0.16
708,"Red maple / lowland",90299,20082.0320681505,34.0797746896422,539.644697947929,5.50376083899046,0.13
519,"Red maple / oak",87938,19556.9578401645,35.2299481919079,1127.85201585208,4.98371068252633,0.12
501,"Post oak / blackjack oak",68551,15245.3889888458,26.0275522443145,899.855882044026,3.81654855509037,0.1
511,"Yellow-poplar",57994,12897.5666149162,61.9251371003897,329.812845294341,12.2510580404869,0.08
705,"Sycamore / pecan / American elm",50306,11187.7950500047,111.062276497833,1118.09965352045,24.118784041665,0.07
706,"Sugarberry / hackberry / elm / green ash",36978,8223.71656182315,44.9483841608524,461.273236789442,8.57648331440316,0.05
162,"Shortleaf pine",21726,4831.75039272459,100.033104349627,440.182103470496,30.7900363619626,0.03
606,"Atlantic white-cedar",15555,3459.35180699765,48.2035685567342,1811.10311218258,4.00719575699132,0.02
402,"Eastern redcedar / hardwood",14398,3202.04097185163,167.051746464787,230.002479511043,28.8188102514238,0.02
516,"Cherry / white ash / yellow-poplar",12694,2823.08015673598,49.0991348038443,539.072345202458,9.49162123838034,0.02
507,"Sassafras / persimmon",9169,2039.13832969215,8.56146545970117,156.174786781547,1.84759188570182,0.01
999,"Nonstocked",2386,530.634099099736,11.3447,12.03,3.08,0
506,"Yellow-poplar / white oak / northern red oak",1761,391.637321255086,108.3352,759.46,28.27,0
601,"Swamp chestnut oak / cherrybark oak",1201,267.096208306279,102.312811157369,566.955270607827,27.1395670274771,0
709,"Cottonwood / willow",34,7.56142471474896,140.9985,675.2,42.37,0
504,"White oak",7,1.55676391186008,73.9407428571429,459.072857142857,24.99,0
973,"Mesquite woodland",3,0.66718453365432,4.5859,380.84,0.42,0
