"FORTYPCD","ForTypName","N_PLOTS","N_PIXELS","TM_ACRES","TM_BAA_mean","TM_TPA_mean","TM_CARB_mean","TM_BAA_sd","TM_TPA_sd","TM_CARB_sd","TM_BAA_CV","TM_TPA_CV","TM_CARB_CV","ESS","FIA_BAA","FIA_BAA_SE","FIA_TPA","FIA_TPA_SE","FIA_CARB","FIA_CARB_SE","FIA_ACRES","FIA_ACRES_SE","BAA_bias_abs","TPA_bias_abs","CARB_bias_abs","BAA_bias_pct","TPA_bias_pct","CARB_bias_pct","BAA_z","TPA_z","CARB_z","AREA_SCALE","AREA_PCT_DIFF","BAA_contrib_before","TPA_contrib_before","CARB_contrib_before","BAA_contrib_after","TPA_contrib_after","CARB_contrib_after","BAA_scaling_effect","TPA_scaling_effect","CARB_scaling_effect"
516,"Cherry / white ash / yellow-poplar",3,12694,2823.08015673598,49.0991348038443,539.072345202458,9.49162123838034,7.56215147544827,146.694569213225,2.65729657461614,0.154018018966317,0.272124085976126,0.27996234867349,1.87898006150654,5.67057801378262,71.3654001894499,5.87240858620446,71.3654001894499,3.22006679420543,37.6092661497133,12566.2728584015,69.6858475908233,43.4285567900617,533.199936616253,6.27155444417491,765.857672436681,9079.74860381572,194.764731447828,5.7428837455927,3.63476261920255,2.36012589038198,4.45126321631989,-77.5344671522985,122602.296909705,1505266.16063423,17705.1009032395,545735.094470499,6700335.8916022,78810.0643918221,423132.797560794,5195069.73096798,61104.9634885826
999,"Nonstocked",1,2386,530.634099099736,11.3447,12.03,3.08,0,0,0,0,0,0,1,3.96290492228171,12.2958833644612,18.4603378092326,23.8180477086547,2.26210479455713,5.01760850802276,454807.943999505,10.0339021853169,7.38179507771829,-6.43033780923265,0.817895205442874,186.272323522415,-34.8332618594694,36.156379996666,Inf,-Inf,Inf,857.102747017435,-99.8833278736441,3917.03218080391,-3412.15651030913,434.003085498173,3357299.04232272,-2924568.71823938,371985.236794527,3353382.01014192,-2921156.56172907,371551.233709029
709,"Cottonwood / willow",1,34,7.56142471474896,140.9985,675.2,42.37,0,0,0,0,0,0,1,63.5035108990478,2.12465374760224e-06,192.577472,0,9.34924071268464,0,1447.58521473678,101.783096037198,77.4949891009522,482.622528,33.0207592873154,122.032605762769,250.612142213602,353.191882657532,Inf,Inf,Inf,191.443447411859,-99.4776525321085,585.972525857141,3649.31391111382,249.683985374883,112180.600438726,698637.235831686,47800.3629236998,111594.627912869,694987.921920572,47550.6789383249
402,"Eastern redcedar / hardwood",4,14398,3202.04097185163,167.051746464787,230.002479511043,28.8188102514238,51.7496105818754,21.0527871933773,9.75534452810545,0.309781918938416,0.0915328705939732,0.338506150774336,1.29263859896312,86.4916376054326,48.7681768568112,262.264087256601,8.32658653948894,18.4752823061148,49.8549117579958,21465.7702409863,50.4657200569081,80.5601088593542,-32.2616077455579,10.343527945309,93.142078343877,-12.3011915520072,55.9857639733364,1.55672879377317,-1.53241504078408,1.06029345406602,6.70377750618644,-85.0830371521553,257956.76926448,-103302.989819082,33120.4002743718,1729284.78736375,-692520.259470971,222031.794355225,1471328.01809927,-589217.269651888,188911.394080853
702,"River birch / sycamore",6,205808,45770.6381674428,16.68969290358,120.576898079764,1.12207460351395,7.55876119501946,56.9272842165534,1.86142936727919,0.452899956798969,0.472124305096114,1.65891765257838,1.008912219458,74.3163135820412,52.7446628884746,876.353111840909,64.0725477233765,14.1777852549475,58.3392989835402,11778.8266973333,59.7144668984481,-57.6266206784612,-755.776213761146,-13.0557106514336,-77.5423563156755,-86.2410600874716,-92.0856848701218,-7.62381813522987,-13.2761684342107,-7.01380932359353,0.257344602761333,288.584018965193,-2637607.20388632,-34592359.6156213,-597568.208245595,-678773.978124555,-8902157.04385923,-153780.953173764,1958833.22576176,25690202.571762,443787.25507183
606,"Atlantic white-cedar",2,15555,3459.35180699765,48.2035685567342,1811.10311218258,4.00719575699132,4.13677463354499,147.157337960403,0.266017243481761,0.0858188461436446,0.0812528767525901,0.0663848884890743,1.03040675255297,173.79747679154,15.8270596427223,712.60625487888,64.0585318807731,29.1543832798888,18.8896285256779,11865.5415663768,63.34624818629,-125.593908234806,1098.4968573037,-25.1471875228975,-72.2645176175074,154.152008880473,-86.2552545923496,-30.3603457670544,7.46477798884401,-94.5321708989955,3.42998984444859,-70.8453947285444,-434473.513399972,3800087.08829478,-86992.9685982441,-1490239.7386438,13034260.1208713,-298384.998830413,-1055766.22524383,9234173.03257655,-211392.030232168
511,"Yellow-poplar",3,57994,12897.5666149162,61.9251371003897,329.812845294341,12.2510580404869,21.7974299673292,82.4601773827955,5.87677035990566,0.351996474904728,0.250021121248944,0.479694924347292,1.47334767887662,153.21078130335,8.16793770458694,144.796853328247,11.8676546496566,47.186623703393,15.0702760442869,2939.58990775043,71.3924183053013,-91.28564420296,185.015991966094,-34.935565662906,-59.5817366287161,127.776251840689,-74.0370107480141,-4.18790859013115,2.24370111535433,-5.9446879022625,0.22791817987982,338.753942545213,-1177362.67709322,2386256.0812075,-450583.78536711,-268342.358421518,543871.142755965,-102696.236244231,909020.318671698,-1842384.93845153,347887.549122879
517,"Elm / ash / black locust",6,190663,42402.4682467112,55.8783870467789,480.829625097685,11.056615127214,3.39855514603096,170.933425768673,0.999808034538893,0.060820566334276,0.355496868010049,0.0904262310874903,1.42060897669674,35.2489427977595,79.3360046121751,118.685212954342,28.6440292622338,10.7793309533447,72.1532866736367,10775.2393180676,64.184672470526,20.6294442490194,362.144412143343,0.27728417386926,58.5250013521843,305.130186927885,2.57236905582922,6.07006311876731,2.11862841053358,0.277337413073643,0.254118209708308,293.517647219324,874739.354716344,15355816.936632,11757.5333778069,222287.198781918,3902192.70854544,2987.80333255395,-652452.155934426,-11453624.2280866,-8769.7300452529
704,"Willow",9,173329,38547.4760112565,16.5643961449036,699.507381915317,1.89886793323679,5.09093674824362,108.525718202257,0.729195063367168,0.307342127277604,0.155145922699348,0.384015681450889,1.27443233656921,32.4503219274116,20.5570137370565,360.160512606574,20.0381948770399,4.77658535333118,18.285204726505,70717.3434783706,27.1514032985176,-15.8859257825079,339.346869308743,-2.87771742009439,-48.9546014922235,94.2210090864215,-60.2463309503613,-3.1204327549323,3.12687973809405,-3.94643020045431,1.83455185127348,-45.490774801168,-612362.343017826,13080965.3041738,-110928.743218263,-1123410.47003352,23997709.1152161,-203504.531230505,-511048.127015691,10916743.8110423,-92575.7880122419
706,"Sugarberry / hackberry / elm / green ash",29,36978,8223.71656182315,44.9483841608524,461.273236789442,8.57648331440316,11.1960391188458,284.338731866382,3.29882259159809,0.249086576255547,0.61642148121456,0.384635808252331,4.24027146668688,86.4143717698401,27.6516000589014,708.922323362033,4.3501216206164,17.5003291001463,17.0025846653214,5810.59349650964,80.1327526635441,-41.4659876089877,-247.64908657259,-8.92384578574315,-47.9850593827495,-34.9331765147591,-50.992445540173,-3.70363011140162,-0.870965010454384,-2.7051608681448,0.706565389605484,41.5297175196138,-341004.529052385,-2036595.89476738,-73387.1783833716,-240941.997927133,-1438988.17185525,-51852.8402864941,100062.531125252,597607.722912139,21534.3380968775
