"SOURCE","FOREST_ACRES","BAA_sqft_ac","TPA_live_ac","Carbon_tons_ac","BA_Total_sqft","TPA_Total_trees","Carbon_Total_tons"
"FIA",16758135.91,83.56,481.31,19.98,1400256688.93,8065932402.89,334788010.12
"TreeMap2022",15965986.31,77.8,519.48,17.22,1242152216.25,8293989196.05,274863220.49
