county,owner_group,stands,acres,removed_cuft
Baker,Federal (NF),211,37530.46417938566,152969.79774713799
Baker,Other public,288,2720.7785131823707,7668180.358821902
Baker,Private,1851,216974.19140935616,531233222.23477566
Columbia,Federal (NF),779,102135.27658460275,91208938.77226932
Columbia,Other public,678,22822.381216387774,61383002.982950136
Columbia,Private,2028,156353.58262222493,510437440.06231827
Hamilton,Federal (NF),83,463.91564316645616,1075770.500260819
Hamilton,Other public,261,2628.9294428910252,8463959.738003353
Hamilton,Private,1757,151132.41888559074,516673909.5513438
Suwannee,Federal (NF),48,288.2237169433016,807206.2817494397
Suwannee,Other public,265,1629.0422273222873,5155504.556315468
Suwannee,Private,1328,140878.90463430146,461223543.77434444
Union,Other public,293,5107.964761384068,18416726.21464756
Union,Private,1961,84431.75747692175,239285280.5171711
