dimension,key,cycle,calendar_year,target_cuft,max_attainable_cuft_prev,max_attainable_cuft_now,max_as_pct_of_target_prev,max_as_pct_of_target_now,target_within_envelope_prev,target_within_envelope_now,ceiling_ratio,change
county,Baker,1,2027,57256000.0,236285178.2223757,236285178.22237572,412.6819516249401,412.6819516249401,True,True,1.0000000000000002,unchanged
county,Baker,2,2032,57256000.0,102610898.603048,333989400.0365644,179.2142283831354,583.3264636659292,True,True,3.254911559917315,unchanged
county,Baker,3,2037,57256000.0,157191655.44779167,473585562.9453815,274.54180426119825,827.137003886722,True,True,3.012790733682898,unchanged
county,Baker,4,2042,57256000.0,188995026.35540345,658966883.1899123,330.0877224315416,1150.9132373723494,True,True,3.4866890197984945,unchanged
county,Baker,5,2047,57256000.0,15732606.4150028,463305403.0051818,27.47765546842741,809.1822743558436,False,True,29.448737913087832,recovered
county,Baker,6,2052,57256000.0,166134861.2425961,471993528.2322361,290.1614874294329,824.3564486381097,True,True,2.84102640891856,unchanged
county,Baker,7,2057,57256000.0,33254878.903116025,403584908.8112885,58.081037625953655,704.8779321141687,False,True,12.136111215051576,recovered
county,Baker,8,2062,57256000.0,19935073.936024524,230269127.71524915,34.81744085514972,402.1746676597198,False,True,11.55095428560872,recovered
county,Baker,9,2067,57256000.0,129221026.96755144,245168968.7837755,225.68993112957847,428.19786360167586,True,True,1.8972838595791353,unchanged
county,Baker,10,2072,57256000.0,0.0,0.0,0.0,0.0,False,False,,still unreachable
county,Columbia,1,2027,98627500.0,162120212.9851413,162120212.9851413,164.37627739235134,164.37627739235134,True,True,1.0,unchanged
county,Columbia,2,2032,98627500.0,126781518.93890016,256090088.20654112,128.54581018367105,259.6538371210272,True,True,2.019932324126505,unchanged
county,Columbia,3,2037,98627500.0,106052687.28832752,349883710.1590813,107.5285161727992,354.7526908408722,True,True,3.2991498763991296,unchanged
county,Columbia,4,2042,98627500.0,122124999.12291405,434058479.175947,123.82449025161748,440.0988356958729,True,True,3.5542147987168793,unchanged
county,Columbia,5,2047,98627500.0,25929227.827306047,365925975.19280416,26.290058885509666,371.0181999876345,False,True,14.112490261181161,recovered
county,Columbia,6,2052,98627500.0,187479854.16665888,347942586.03760993,190.0888232659845,352.7845540418341,True,True,1.8558931976142292,unchanged
county,Columbia,7,2057,98627500.0,51226968.57228859,306900539.19122237,51.939842916315015,311.1713661922105,False,True,5.990995519442884,recovered
county,Columbia,8,2062,98627500.0,80695789.16456297,279770468.10415405,81.81875152930265,283.66375311566657,False,True,3.4669772859351804,recovered
county,Columbia,9,2067,98627500.0,71813860.58131257,280343675.0778939,72.81322205400377,284.24493683596756,False,True,3.903754411872477,recovered
county,Columbia,10,2072,98627500.0,0.0,0.0,0.0,0.0,False,False,,still unreachable
county,Hamilton,1,2027,81057500.0,132334393.30653436,132334393.30653436,163.25989983226026,163.25989983226026,True,True,1.0,unchanged
county,Hamilton,2,2032,81057500.0,96277175.53318988,206243669.27714756,118.77639395884388,254.4411920885144,True,True,2.142186537307055,unchanged
county,Hamilton,3,2037,81057500.0,107686965.6831303,291097494.74660254,132.85256229606182,359.1246889511798,True,True,2.703182255159451,unchanged
county,Hamilton,4,2042,81057500.0,58431781.95607236,358021589.6565263,72.08682966545028,441.68841829136886,False,True,6.127172194161022,recovered
county,Hamilton,5,2047,81057500.0,30476164.27835189,314137004.2172962,37.59820408765616,387.5483505132729,False,True,10.307629311489073,recovered
county,Hamilton,6,2052,81057500.0,69710124.79453224,257702716.51971683,86.00083248870523,317.92581379849713,False,True,3.6967760031887065,recovered
county,Hamilton,7,2057,81057500.0,61076512.58819618,214283304.13581678,75.34961303790048,264.35962635884005,False,True,3.508440398039848,recovered
county,Hamilton,8,2062,81057500.0,3982844.357268615,165475101.91869268,4.913603747054394,204.1453313002408,False,True,41.54696670903139,recovered
county,Hamilton,9,2067,81057500.0,67974632.3974487,159751452.5292471,83.85976917305456,197.0841100814201,False,True,2.350162801840221,recovered
county,Hamilton,10,2072,81057500.0,0.0,0.0,0.0,0.0,False,False,,still unreachable
county,Suwanee,1,2027,112373500.0,90876471.94562924,90876471.94562924,80.8700200186247,80.8700200186247,False,False,1.0,still unreachable
county,Suwanee,2,2032,112373500.0,60370531.08417732,150361376.51439896,53.7231029416876,133.8050132054256,False,True,2.4906419376159437,recovered
county,Suwanee,3,2037,112373500.0,88993458.59740968,223032697.3158171,79.19434617361716,198.47446000686733,False,True,2.5061695638190296,recovered
county,Suwanee,4,2042,112373500.0,41321133.77613761,283966294.2955327,36.77124391083095,252.69862938818554,False,True,6.872180609417821,recovered
county,Suwanee,5,2047,112373500.0,9262613.18669732,223414400.6655797,8.242702404657075,198.81413381765248,False,True,24.12001841839197,recovered
county,Suwanee,6,2052,112373500.0,135535181.69515258,236940567.0571932,120.61133781109656,210.85092753824807,True,True,1.748184966395831,unchanged
county,Suwanee,7,2057,112373500.0,13880814.94957705,205689193.8660718,12.352391755687108,183.04065804310784,False,True,14.818236149192318,recovered
county,Suwanee,8,2062,112373500.0,1710496.926514177,191306337.74072868,1.5221532892667549,170.24150510638958,False,True,111.8425498317568,recovered
county,Suwanee,9,2067,112373500.0,76658640.07147253,197640108.35764182,68.21772043361872,175.877861201833,False,True,2.5781843791302905,recovered
county,Suwanee,10,2072,112373500.0,0.0,0.0,0.0,0.0,False,False,,still unreachable
county,Union,1,2027,38214500.0,63744831.10847904,63744831.10847904,166.80796846348647,166.80796846348647,True,True,1.0,unchanged
county,Union,2,2032,38214500.0,33193608.85754665,91896971.86512464,86.86129311530087,240.4767087496229,False,True,2.7685140311048655,recovered
county,Union,3,2037,38214500.0,57845582.86620385,137106953.64375564,151.37076990724424,358.7825397264275,True,True,2.370223392179873,unchanged
county,Union,4,2042,38214500.0,80431111.64202806,217582815.66900215,210.47275678611012,569.3723996624374,True,True,2.705207117332785,unchanged
county,Union,5,2047,38214500.0,4394282.898574109,176685232.24879318,11.498993572005675,462.3512861578542,False,True,40.20797848634765,recovered
county,Union,6,2052,38214500.0,73086854.69064061,190604518.2289398,191.2542482320601,498.775381671721,True,True,2.6079179222546065,unchanged
county,Union,7,2057,38214500.0,924083.9228527916,168969611.10083437,2.418149976717716,442.1609888938345,False,True,182.85093693568302,recovered
county,Union,8,2062,38214500.0,3983509.734792963,92921133.14554624,10.424079170976889,243.1567419318485,False,True,23.326448115326542,recovered
county,Union,9,2067,38214500.0,53857730.606247164,94334825.85484055,140.93532718273735,246.85610397843894,True,True,1.751555900944298,unchanged
county,Union,10,2072,38214500.0,0.0,0.0,0.0,0.0,False,False,,still unreachable
owner_group,Federal (NF),1,2027,10117500.0,34309633.81800248,34309633.81800248,339.1117748258214,339.1117748258214,True,True,1.0,unchanged
owner_group,Federal (NF),2,2032,10117500.0,68551001.51480672,69715300.7374591,677.5488165535628,689.0565924137296,True,True,1.016984423231233,unchanged
owner_group,Federal (NF),3,2037,10117500.0,0.0,79535168.05264722,0.0,786.1148312591769,False,True,,recovered
owner_group,Federal (NF),4,2042,10117500.0,75886353.68206945,89147925.98464175,750.0504441024902,881.1260290056016,True,True,1.1747556926787188,unchanged
owner_group,Federal (NF),5,2047,10117500.0,0.0,97941367.39542563,0.0,968.039213199166,False,True,,recovered
owner_group,Federal (NF),6,2052,10117500.0,80491973.63274966,91541924.65947117,795.5717680528753,904.787987738781,True,True,1.1372801600956848,unchanged
owner_group,Federal (NF),7,2057,10117500.0,16049240.386687258,98432569.02579308,158.62851877130967,972.8941836006235,True,True,6.133160614096244,unchanged
owner_group,Federal (NF),8,2062,10117500.0,82669713.60042244,92448559.11261062,817.0962550078818,913.7490399071967,True,True,1.1182881261625444,unchanged
owner_group,Federal (NF),9,2067,10117500.0,0.0,97710598.03253055,0.0,965.7583200645471,False,True,,recovered
owner_group,Federal (NF),10,2072,10117500.0,0.0,0.0,0.0,0.0,False,False,,still unreachable
owner_group,Other public,1,2027,22434500.0,13815425.915964536,13815425.915964535,61.58116256642463,61.58116256642463,False,False,0.9999999999999999,still unreachable
owner_group,Other public,2,2032,22434500.0,22104540.32934097,27616470.57137112,98.52923100287936,123.09822180735529,False,True,1.2493573790681258,recovered
owner_group,Other public,3,2037,22434500.0,3656495.373081352,34119630.81018968,16.298537400349247,152.08554151057382,False,True,9.331238612080302,recovered
owner_group,Other public,4,2042,22434500.0,22275710.184014115,39002757.22169176,99.2922070205002,173.85168923618426,False,True,1.7509097083549596,recovered
owner_group,Other public,5,2047,22434500.0,188537.50265108416,36816277.146349855,0.8403909275940366,164.10562814571242,False,True,195.2729649468397,recovered
owner_group,Other public,6,2052,22434500.0,25436677.22756361,33625685.42402873,113.38196629104108,149.88381922498263,True,True,1.3219370251548177,unchanged
owner_group,Other public,7,2057,22434500.0,4907968.8742181575,31984973.81838685,21.8768810279621,142.57047769456352,False,True,6.516947160444671,recovered
owner_group,Other public,8,2062,22434500.0,24448346.621893138,30152235.605445385,108.97656119767832,134.4011928299957,True,True,1.2333036696413857,unchanged
owner_group,Other public,9,2067,22434500.0,0.0,31576310.12453993,0.0,140.74889177177974,False,True,,recovered
owner_group,Other public,10,2072,22434500.0,0.0,0.0,0.0,0.0,False,False,,still unreachable
owner_group,Private,1,2027,354974000.0,637236027.8341924,637236027.8341924,179.51625410148137,179.51625410148137,True,True,1.0,unchanged
owner_group,Private,2,2032,354974000.0,328578191.17271405,941249734.5909481,92.56401628646438,265.16019049027483,False,True,2.8646141462754264,recovered
owner_group,Private,3,2037,354974000.0,514113854.509783,1361051619.9478042,144.83141145824283,383.4229041979988,True,True,2.6473739386883315,unchanged
owner_group,Private,4,2042,354974000.0,393141988.9864712,1824445378.7805877,110.75233368823385,513.9659182871387,True,True,4.640677999020274,unchanged
owner_group,Private,5,2047,354974000.0,85606357.1032811,1408710370.787877,24.116233048978543,396.84888774611017,False,True,16.455674770605142,recovered
owner_group,Private,6,2052,354974000.0,526018225.7292681,1380016305.992195,148.18500107874607,388.76546056674425,True,True,2.6235142405549725,unchanged
owner_group,Private,7,2057,354974000.0,139406049.67512524,1169010014.2610543,39.27218604042134,329.3227149766051,False,True,8.385647660093229,recovered
owner_group,Private,8,2062,354974000.0,3189653.896847482,837141373.9063174,0.8985598654683108,235.8317437069524,False,True,262.45523839865893,recovered
owner_group,Private,9,2067,354974000.0,399525890.6240328,847952122.4463247,112.55074755447802,238.87724803684912,True,True,2.1223959256354576,unchanged
owner_group,Private,10,2072,354974000.0,0.0,0.0,0.0,0.0,False,False,,still unreachable
