offset_years,stands,acres,removed_cuft,acres_pct
0,1761,409623.057251165,796717635.96692,48.04528045170895
5,1259,157530.71852792005,489496228.99652505,18.477005670099192
10,866,132609.81956996053,494288251.4217073,15.553997410801648
15,1073,152813.50150625,672683538.957566,17.92371646739021
