fvs_run_id,PLT_CN,prescription,cycle,calendar_year,removed_merch_cuft_per_ac,base_prescription,offset_years
134677819010854::family_uneven_aged_selection,134677819010854,family_uneven_aged_selection,8,2062,0.0,family_uneven_aged_selection,0
134677819010854::family_uneven_aged_selection,134677819010854,family_uneven_aged_selection,9,2067,465.4684143066406,family_uneven_aged_selection,0
134677819010854::family_uneven_aged_selection,134677819010854,family_uneven_aged_selection,10,2072,0.0,family_uneven_aged_selection,0
134677819010854::family_uneven_aged_selection@+10y,134677819010854,family_uneven_aged_selection@+10y,0,2022,0.0,family_uneven_aged_selection,10
134677819010854::family_uneven_aged_selection@+10y,134677819010854,family_uneven_aged_selection@+10y,1,2027,0.0,family_uneven_aged_selection,10
134677819010854::family_uneven_aged_selection@+10y,134677819010854,family_uneven_aged_selection@+10y,2,2032,0.0,family_uneven_aged_selection,10
134677819010854::family_uneven_aged_selection@+10y,134677819010854,family_uneven_aged_selection@+10y,3,2037,0.0,family_uneven_aged_selection,10
134677819010854::family_uneven_aged_selection@+10y,134677819010854,family_uneven_aged_selection@+10y,4,2042,0.0,family_uneven_aged_selection,10
134677819010854::family_uneven_aged_selection@+10y,134677819010854,family_uneven_aged_selection@+10y,5,2047,226.41383361816406,family_uneven_aged_selection,10
134677819010854::family_uneven_aged_selection@+10y,134677819010854,family_uneven_aged_selection@+10y,6,2052,0.0,family_uneven_aged_selection,10
134677819010854::family_uneven_aged_selection@+10y,134677819010854,family_uneven_aged_selection@+10y,7,2057,0.0,family_uneven_aged_selection,10
134677819010854::family_uneven_aged_selection@+10y,134677819010854,family_uneven_aged_selection@+10y,8,2062,409.6350402832031,family_uneven_aged_selection,10
134677819010854::family_uneven_aged_selection@+10y,134677819010854,family_uneven_aged_selection@+10y,9,2067,0.0,family_uneven_aged_selection,10
134677819010854::family_uneven_aged_selection@+10y,134677819010854,family_uneven_aged_selection@+10y,10,2072,0.0,family_uneven_aged_selection,10
134677819010854::family_uneven_aged_selection@+15y,134677819010854,family_uneven_aged_selection@+15y,0,2022,0.0,family_uneven_aged_selection,15
134677819010854::family_uneven_aged_selection@+15y,134677819010854,family_uneven_aged_selection@+15y,1,2027,0.0,family_uneven_aged_selection,15
134677819010854::family_uneven_aged_selection@+15y,134677819010854,family_uneven_aged_selection@+15y,2,2032,0.0,family_uneven_aged_selection,15
134677819010854::family_uneven_aged_selection@+15y,134677819010854,family_uneven_aged_selection@+15y,3,2037,0.0,family_uneven_aged_selection,15
134677819010854::family_uneven_aged_selection@+15y,134677819010854,family_uneven_aged_selection@+15y,4,2042,0.0,family_uneven_aged_selection,15
134677819010854::family_uneven_aged_selection@+15y,134677819010854,family_uneven_aged_selection@+15y,5,2047,0.0,family_uneven_aged_selection,15
134677819010854::family_uneven_aged_selection@+15y,134677819010854,family_uneven_aged_selection@+15y,6,2052,305.7286071777344,family_uneven_aged_selection,15
134677819010854::family_uneven_aged_selection@+15y,134677819010854,family_uneven_aged_selection@+15y,7,2057,0.0,family_uneven_aged_selection,15
