dimension,key,cycle,calendar_year,min_attainable_cuft,max_attainable_cuft,target_cuft,target_within_envelope,max_as_pct_of_target
owner_group,Other public,9,2067,0.0,31576310.12453993,22434500.0,True,140.74889177177974
owner_group,Other public,10,2072,0.0,0.0,22434500.0,False,0.0
owner_group,Private,1,2027,0.0,637236027.8341924,354974000.0,True,179.51625410148137
owner_group,Private,2,2032,0.0,941249734.5909481,354974000.0,True,265.16019049027483
owner_group,Private,3,2037,0.0,1361051619.9478042,354974000.0,True,383.4229041979988
owner_group,Private,4,2042,0.0,1824445378.7805877,354974000.0,True,513.9659182871387
owner_group,Private,5,2047,0.0,1408710370.787877,354974000.0,True,396.84888774611017
owner_group,Private,6,2052,0.0,1380016305.992195,354974000.0,True,388.76546056674425
owner_group,Private,7,2057,0.0,1169010014.2610543,354974000.0,True,329.3227149766051
owner_group,Private,8,2062,0.0,837141373.9063174,354974000.0,True,235.8317437069524
owner_group,Private,9,2067,0.0,847952122.4463247,354974000.0,True,238.87724803684912
owner_group,Private,10,2072,0.0,0.0,354974000.0,False,0.0
