cycle,cuft,calendar_year,target_cuft,deviation_pct
1,223807647.000437,2027,387529000.0,-42.247509992687775
2,242053445.3210344,2032,387529000.0,-37.53926923635795
3,260232267.4476624,2037,387529000.0,-32.84831136568814
4,274237365.29904723,2042,387529000.0,-29.234363028561155
5,278333820.14429796,2047,387529000.0,-28.177292500871427
6,289379288.6363797,2052,387529000.0,-25.327062326592404
7,281089709.3509385,2057,387529000.0,-27.466148507353388
8,301609655.8218787,2062,387529000.0,-22.17107472682595
9,302442456.32104254,2067,387529000.0,-21.956174551829015
10,0.0,2072,387529000.0,-100.0
