seed,objective,initial_temperature,temperature_levels,moves_proposed,moves_accepted,accept_rate
42,95.43853573534359,0.09469807620096214,134,15853540,9035504,0.5699360521372514
43,94.54280446513279,0.056123316643687284,124,14670440,8162890,0.5564175307625402
44,96.34607485582269,0.08460418723606104,132,15616920,8845439,0.5664009932816458
45,94.757824785663,0.09802948483692603,135,15971850,9128896,0.5715615911744726
46,96.37940936627051,0.11070218026463523,137,16208470,9315190,0.5747112466506709
