strategy,n_units,total_forest_ha,sliver_count,sliver_fraction,candidate_count,large_count,median_area_ha,mean_area_ha,median_compactness,mean_compactness
Naive,17020,27615.86211190581,14852,0.87262044653349,2077,91,0.1030893605403782,1.622553590593761,0.45866813101781545,0.46113962767933653
Felzenszwalb,21210,27802.651625093094,19181,0.9043375766148043,1939,90,0.09,1.3108275165060392,0.525829956083404,0.5239048796226393
SLIC,11721,27806.343999532364,10212,0.8712567187100076,1352,157,0.10411414445146329,2.3723525296077437,0.5026548245743663,0.49771886314948055
